time,temperature,optimal_temperature
2020-01-02 15:59:59,8.1,11.99999999999993
2020-01-02 16:59:59,8.1,11.99999999999993
2020-01-02 17:59:59,7.0,11.99999999999993
2020-01-02 18:59:59,6.2,11.99999999999993
2020-01-02 19:59:59,5.9,11.99999999999993
2020-01-02 20:59:59,5.6,11.99999999999993
2020-01-02 21:59:59,5.2,11.99999999999993
2020-01-02 22:59:59,4.4,13.199999999999926
2020-01-02 23:59:59,4.0,13.899999999999924
2021-01-02 00:59:59,-0.4,17.999999999999943
2021-01-02 01:59:59,-0.5,17.89999999999994
2021-01-02 02:59:59,-0.9,17.89999999999994
2021-01-02 03:59:59,-1.8,18.199999999999946
2021-01-02 04:59:59,-2.1,18.099999999999945
2021-01-02 05:59:59,-2.4,18.099999999999945
2021-01-02 06:59:59,-2.5,17.999999999999943
2021-01-02 07:59:59,-2.6,17.89999999999994
2021-01-02 08:59:59,-2.3,17.599999999999937
2021-01-02 09:59:59,-0.6,16.499999999999922
2021-01-02 10:59:59,0.8,14.99999999999992
2021-01-02 11:59:59,2.2,12.09999999999993
2021-01-02 12:59:59,2.4,11.99999999999993
2021-01-02 13:59:59,2.7,11.99999999999993
2021-01-02 14:59:59,1.9,11.99999999999993
2021-01-02 15:59:59,0.5,14.299999999999923
2021-01-02 16:59:59,0.6,13.899999999999924
2021-01-02 17:59:59,0.7,13.499999999999925
2021-01-02 18:59:59,0.4,13.699999999999925
2021-01-02 19:59:59,0.1,13.899999999999924
2021-01-02 20:59:59,-0.1,13.999999999999924
2021-01-02 21:59:59,-0.3,13.999999999999924
2021-01-02 22:59:59,-0.7,14.299999999999923
2021-01-02 23:59:59,-1.5,14.99999999999992
2019-01-03 00:59:59,3.0,21.9
2019-01-03 01:59:59,2.8,21.799999999999997
2019-01-03 02:59:59,2.0,21.699999999999996
2019-01-03 03:59:59,2.0,21.599999999999994
2019-01-03 04:59:59,1.6,21.499999999999993
2019-01-03 05:59:59,0.6,21.499999999999993
2019-01-03 06:59:59,0.8,21.29999999999999
2019-01-03 07:59:59,0.6,21.19999999999999
2019-01-03 08:59:59,0.5,21.099999999999987
2019-01-03 09:59:59,1.8,20.899999999999984
2019-01-03 10:59:59,3.9,20.49999999999998
2019-01-03 11:59:59,6.1,19.89999999999997
2019-01-03 12:59:59,7.8,18.999999999999957
2019-01-03 13:59:59,8.3,18.49999999999995
2019-01-03 14:59:59,9.9,15.899999999999917
2019-01-03 15:59:59,9.7,16.099999999999916
2019-01-03 16:59:59,9.7,15.699999999999918
2019-01-03 17:59:59,8.6,17.499999999999936
2019-01-03 18:59:59,8.1,17.79999999999994
2019-01-03 19:59:59,7.4,18.299999999999947
2019-01-03 20:59:59,6.0,18.999999999999957
2019-01-03 21:59:59,4.6,19.399999999999963
2019-01-03 22:59:59,3.9,19.499999999999964
2019-01-03 23:59:59,3.4,19.599999999999966
2020-01-03 00:59:59,3.5,19.399999999999963
2020-01-03 01:59:59,2.6,19.499999999999964
2020-01-03 02:59:59,1.8,19.599999999999966
2020-01-03 03:59:59,1.0,19.699999999999967
2020-01-03 04:59:59,0.7,19.699999999999967
2020-01-03 05:59:59,0.2,19.699999999999967
2020-01-03 06:59:59,-0.3,19.699999999999967
2020-01-03 07:59:59,-0.3,19.499999999999964
2020-01-03 08:59:59,0.0,19.29999999999996
2020-01-03 09:59:59,-0.6,19.399999999999963
2020-01-03 10:59:59,-0.2,19.09999999999996
2020-01-03 11:59:59,0.0,18.899999999999956
2020-01-03 12:59:59,0.5,18.59999999999995
2020-01-03 13:59:59,1.2,18.099999999999945
2020-01-03 14:59:59,1.9,17.599999999999937
2020-01-03 15:59:59,2.3,17.199999999999932
2020-01-03 16:59:59,2.2,17.09999999999993
2020-01-03 17:59:59,1.7,17.199999999999932
2020-01-03 18:59:59,1.0,17.499999999999936
2020-01-03 19:59:59,0.1,17.89999999999994
2020-01-03 20:59:59,0.2,17.69999999999994
2020-01-03 21:59:59,0.0,17.599999999999937
2020-01-03 22:59:59,-0.2,17.599999999999937
2020-01-03 23:59:59,0.0,17.299999999999933
2021-01-03 00:59:59,-1.4,17.89999999999994
2021-01-03 01:59:59,-2.5,18.199999999999946
2021-01-03 02:59:59,-2.8,18.199999999999946
2021-01-03 03:59:59,-2.8,17.999999999999943
2021-01-03 04:59:59,-3.1,17.999999999999943
2021-01-03 05:59:59,-3.1,17.89999999999994
2021-01-03 06:59:59,-3.2,17.79999999999994
2021-01-03 07:59:59,-3.1,17.599999999999937
2021-01-03 08:59:59,-2.3,16.99999999999993
2021-01-03 09:59:59,-0.9,15.899999999999917
2021-01-03 10:59:59,0.8,13.599999999999925
2021-01-03 11:59:59,2.8,11.99999999999993
2021-01-03 12:59:59,3.5,11.99999999999993
2021-01-03 13:59:59,3.9,11.99999999999993
2021-01-03 14:59:59,4.5,11.99999999999993
2021-01-03 15:59:59,4.7,11.99999999999993
2021-01-03 16:59:59,4.1,11.99999999999993
2021-01-03 17:59:59,2.5,11.99999999999993
2021-01-03 18:59:59,1.6,11.99999999999993
2021-01-03 19:59:59,0.7,11.99999999999993
2021-01-03 20:59:59,0.3,12.19999999999993
2021-01-03 21:59:59,0.2,12.09999999999993
2021-01-03 22:59:59,0.2,11.99999999999993
2021-01-03 23:59:59,0.1,11.99999999999993
2019-01-04 00:59:59,2.1,21.9
2019-01-04 01:59:59,1.5,21.799999999999997
2019-01-04 02:59:59,1.0,21.699999999999996
2019-01-04 03:59:59,0.7,21.599999999999994
2019-01-04 04:59:59,0.1,21.499999999999993
2019-01-04 05:59:59,-0.5,21.39999999999999
2019-01-04 06:59:59,-1.0,21.39999999999999
2019-01-04 07:59:59,-0.9,21.19999999999999
2019-01-04 08:59:59,-1.0,21.099999999999987
2019-01-04 09:59:59,1.0,20.899999999999984
2019-01-04 10:59:59,2.7,20.49999999999998
2019-01-04 11:59:59,4.2,20.099999999999973
2019-01-04 12:59:59,7.2,18.799999999999955
2019-01-04 13:59:59,9.4,16.099999999999916
2019-01-04 14:59:59,10.9,11.99999999999993
2019-01-04 15:59:59,11.7,11.99999999999993
2019-01-04 16:59:59,10.5,11.99999999999993
2019-01-04 17:59:59,8.8,16.39999999999992
2019-01-04 18:59:59,6.9,18.39999999999995
2019-01-04 19:59:59,6.2,18.59999999999995
2019-01-04 20:59:59,5.7,18.799999999999955
2019-01-04 21:59:59,4.7,19.09999999999996
2019-01-04 22:59:59,4.1,19.19999999999996
2019-01-04 23:59:59,3.4,19.29999999999996
2020-01-04 00:59:59,0.1,19.99999999999997
2020-01-04 01:59:59,0.2,19.89999999999997
2020-01-04 02:59:59,0.4,19.699999999999967
2020-01-04 03:59:59,0.4,19.599999999999966
2020-01-04 04:59:59,0.2,19.499999999999964
2020-01-04 05:59:59,0.5,19.29999999999996
2020-01-04 06:59:59,0.3,19.29999999999996
2020-01-04 07:59:59,0.3,19.09999999999996
2020-01-04 08:59:59,0.6,18.899999999999956
2020-01-04 09:59:59,1.8,18.199999999999946
2020-01-04 10:59:59,3.1,17.299999999999933
2020-01-04 11:59:59,4.2,15.999999999999917
2020-01-04 12:59:59,5.7,12.19999999999993
2020-01-04 13:59:59,6.6,11.99999999999993
2020-01-04 14:59:59,7.6,11.99999999999993
2020-01-04 15:59:59,8.4,11.99999999999993
2020-01-04 16:59:59,8.2,11.99999999999993
2020-01-04 17:59:59,7.6,11.99999999999993
2020-01-04 18:59:59,6.5,11.99999999999993
2020-01-04 19:59:59,6.0,11.99999999999993
2020-01-04 20:59:59,5.4,11.99999999999993
2020-01-04 21:59:59,4.7,12.499999999999929
2020-01-04 22:59:59,3.7,14.699999999999921
2020-01-04 23:59:59,3.2,15.19999999999992
2021-01-04 00:59:59,0.0,17.69999999999994
2021-01-04 01:59:59,-0.4,17.79999999999994
2021-01-04 02:59:59,-1.6,18.199999999999946
2021-01-04 03:59:59,-1.2,17.89999999999994
2021-01-04 04:59:59,-1.1,17.69999999999994
2021-01-04 05:59:59,-0.8,17.299999999999933
2021-01-04 06:59:59,-0.5,16.99999999999993
2021-01-04 07:59:59,-0.9,17.09999999999993
2021-01-04 08:59:59,-0.9,16.899999999999928
2021-01-04 09:59:59,0.5,15.599999999999918
2021-01-04 10:59:59,1.5,14.099999999999923
2021-01-04 11:59:59,2.0,12.899999999999928
2021-01-04 12:59:59,2.9,11.99999999999993
2021-01-04 13:59:59,2.8,11.99999999999993
2021-01-04 14:59:59,2.8,11.99999999999993
2021-01-04 15:59:59,2.6,11.99999999999993
2021-01-04 16:59:59,3.5,11.99999999999993
2021-01-04 17:59:59,2.5,11.99999999999993
2021-01-04 18:59:59,1.4,12.09999999999993
2021-01-04 19:59:59,1.0,12.799999999999928
2021-01-04 20:59:59,0.7,13.099999999999927
2021-01-04 21:59:59,0.2,13.699999999999925
2021-01-04 22:59:59,-0.4,14.299999999999923
2021-01-04 23:59:59,-0.8,14.599999999999921
2019-01-05 00:59:59,1.8,21.9
2019-01-05 01:59:59,0.1,21.799999999999997
2019-01-05 02:59:59,-0.6,21.699999999999996
2019-01-05 03:59:59,-0.4,21.599999999999994
2019-01-05 04:59:59,-0.3,21.499999999999993
2019-01-05 05:59:59,-0.5,21.39999999999999
2019-01-05 06:59:59,-0.8,21.29999999999999
2019-01-05 07:59:59,-1.5,21.19999999999999
2019-01-05 08:59:59,-1.3,21.099999999999987
2019-01-05 09:59:59,1.0,20.799999999999983
2019-01-05 10:59:59,3.4,20.299999999999976
2019-01-05 11:59:59,4.3,19.99999999999997
2019-01-05 12:59:59,8.0,18.099999999999945
2019-01-05 13:59:59,8.7,17.09999999999993
2019-01-05 14:59:59,9.5,14.79999999999992
2019-01-05 15:59:59,10.6,11.99999999999993
2019-01-05 16:59:59,10.7,11.99999999999993
2019-01-05 17:59:59,9.1,14.99999999999992
2019-01-05 18:59:59,7.1,17.999999999999943
2019-01-05 19:59:59,6.3,18.39999999999995
2019-01-05 20:59:59,5.7,18.59999999999995
2019-01-05 21:59:59,4.1,19.19999999999996
2019-01-05 22:59:59,4.2,18.999999999999957
2019-01-05 23:59:59,2.8,19.399999999999963
2020-01-05 00:59:59,2.6,19.29999999999996
2020-01-05 01:59:59,1.7,19.499999999999964
2020-01-05 02:59:59,1.0,19.599999999999966
2020-01-05 03:59:59,0.7,19.499999999999964
2020-01-05 04:59:59,0.3,19.499999999999964
2020-01-05 05:59:59,0.0,19.399999999999963
2020-01-05 06:59:59,-0.2,19.399999999999963
2020-01-05 07:59:59,-0.6,19.399999999999963
2020-01-05 08:59:59,-0.4,19.19999999999996
2020-01-05 09:59:59,1.3,18.39999999999995
2020-01-05 10:59:59,2.8,17.399999999999935
2020-01-05 11:59:59,4.5,15.399999999999919
2020-01-05 12:59:59,6.1,11.99999999999993
2020-01-05 13:59:59,9.0,11.99999999999993
2020-01-05 14:59:59,9.5,11.99999999999993
2020-01-05 15:59:59,8.8,11.99999999999993
2020-01-05 16:59:59,8.6,11.99999999999993
2020-01-05 17:59:59,7.0,11.99999999999993
2020-01-05 18:59:59,6.0,11.99999999999993
2020-01-05 19:59:59,5.4,11.99999999999993
2020-01-05 20:59:59,4.9,11.99999999999993
2020-01-05 21:59:59,4.5,12.999999999999927
2020-01-05 22:59:59,4.2,13.499999999999925
2020-01-05 23:59:59,3.2,15.09999999999992
2021-01-05 00:59:59,-0.9,18.099999999999945
2021-01-05 01:59:59,-1.3,18.099999999999945
2021-01-05 02:59:59,-1.9,18.199999999999946
2021-01-05 03:59:59,-1.9,18.099999999999945
2021-01-05 04:59:59,-2.1,17.999999999999943
2021-01-05 05:59:59,-3.0,18.299999999999947
2021-01-05 06:59:59,-3.9,18.39999999999995
2021-01-05 07:59:59,-4.2,18.39999999999995
2021-01-05 08:59:59,-4.0,18.199999999999946
2021-01-05 09:59:59,-3.0,17.69999999999994
2021-01-05 10:59:59,-1.1,16.39999999999992
2021-01-05 11:59:59,0.4,14.79999999999992
2021-01-05 12:59:59,0.4,14.599999999999921
2021-01-05 13:59:59,1.7,11.99999999999993
2021-01-05 14:59:59,2.7,11.99999999999993
2021-01-05 15:59:59,2.9,11.99999999999993
2021-01-05 16:59:59,2.4,11.99999999999993
2021-01-05 17:59:59,1.1,12.09999999999993
2021-01-05 18:59:59,0.4,13.199999999999926
2021-01-05 19:59:59,0.1,13.499999999999925
2021-01-05 20:59:59,0.0,13.399999999999926
2021-01-05 21:59:59,-0.3,13.599999999999925
2021-01-05 22:59:59,-0.5,13.699999999999925
2021-01-05 23:59:59,-1.2,14.399999999999922
2019-01-06 00:59:59,1.5,21.9
2019-01-06 01:59:59,0.8,21.799999999999997
2019-01-06 02:59:59,1.0,21.699999999999996
